"id","abbreviation","fullform","type","publication_id"
"56","AcIr"," Acta Iranica (Tehran− Liège)   ",NULL,NULL
"57","Ackerbau"," B. Hruska, Tradicní obilnárství staré Mezopotámie / Der traditionelle Ackerbau im alten Mesopotamien (Prague 1990)   ",NULL,NULL
"58","AcOr"," (AKA Acta Or./ ActOr) Acta Orientalia (Budapest) Societates Orientales Batava, Danica, Norvegica, Svecica (Leiden 1923 ff.)   ",NULL,NULL
"59","ACT"," O. Neugebauer, Astronomical Cuneiform Texts (London 1955)   ",NULL,NULL
"60","ActAnt (avoid AAntH)"," Acta Antiqua Academiae Scientiarum Hungaricae (Budapest 1951 ff.) Actlr (aka AcIr)   Acta Iranica. Encyclopédie permanente des études iraniennes (Teheran 1974 ff.)  ",NULL,NULL
"61","Actes"," du 8e Congrès International Actes du 8e Congrès International des Orientalistes, Section Sémitiques (B)",NULL,NULL
"62","AcOrHung"," Acta Orientalia Academiae Scientiarum Hungaricae (Budapest)   ",NULL,NULL
"63","Adab"," Yang Zhi, Sargonic Inscriptions from Adab (PPAC 1, Changchun 1989)   ",NULL,NULL
"64","ADAJ"," Annual of the Department of Antiquities of Jordan (Amman 1951 ff.)   ",NULL,NULL
"65","ADART "," A. J. Sachs & H. Hunger, Astronomical Diaries and Related Texts (1988 ff.)   ",NULL,NULL
"66","ADB"," C. H. W. Johns, An Assyrian Doomsday Book (Leipzig 1901)   ",NULL,NULL
"67","ADD"," C. H. W. Johns, Assyrian Deeds and Documents (Cambridge 1898 - 1923)   ",NULL,NULL
"68","ADFU"," Ausgrabungen der Deutschen Forschungsgemeinschaft in Uruk-Warka (Berlin . .. 1936 ff.)   ",NULL,NULL
"69","adj."," adjective   ",NULL,NULL
"70","admin."," administrative (texts)   ",NULL,NULL
"71","ADOG"," Abhandlungen der Deutschen Orient-Gesellschaft (Berlin 1956 ff.)   ",NULL,NULL
"72","AdŠ"," G. Wilhelm, Das Archiv des Šilwa-Tessup (Wiesbaden 1980ff.)   ",NULL,NULL
"73","AdŠ 8"," D. Stein, The Seal Impressions, text (Wiesbaden 1993)   ",NULL,NULL
"74","AdŠ 9"," D. Stein, The Seal Impressions, catalogue (Wiesbaden 1993)   ",NULL,NULL
"75","adv."," adverb   ",NULL,NULL
"76","aE"," Old Elamite ( &lt; altelamisch)   ",NULL,NULL
"77","AegFo (avoid ÄgFo.)"," Ägyptologische Forschungen (GIückstadt 1936 ff.) Aegyptus  Rivista italiana di Egittologia e di Papirologia  ",NULL,NULL
"78","AEJ"," C.F. Lehmann-Haupt, Armenien einst und jetzt, I-Ill (Berlin 1910 - 1931)   ",NULL,NULL
"79","AeL (aka ÄL)"," Ägypten und Levante. Zeitschrift für ägyptische Archäologie und deren Nachbargebiete (Vienna 1990 ff.)   ",NULL,NULL
"80","AEM"," Archives épistolaires de Mari (Paris 1988 ff.)   ",NULL,NULL
"81","AEP (aka AEPHE, Annuaire EPHE, EPHE)"," Annuaire de l'École pratique des Hautes-Études, Section des Sciences Historiques et Philologiques (Paris 1893 ff.)   ",NULL,NULL
"82","AF"," (aka AOF)  H. Winckler, Altorientalische Forschungen 1-3 (Leipzig 1897-1906)  ",NULL,NULL
"83","AfK"," Archiv für Keilschriftforschung (Berlin)   ",NULL,NULL
"84","AFD"," J. L. Gautier Archives d'une famille de Dilbat (Kairo 1908)   ",NULL,NULL
"85","AGH"," E. Ebeling, Die akkadische Gebetsserie, Handerhebung (Berlin 1953)   ",NULL,NULL
"86","AfK"," Archiv für Keilschriftforschung (Berlin)   ",NULL,NULL
"87","AfO (aka AfK)"," Archiv für Orientforschung (vol. 1-2 as AfK = Archiv für Keilschriftforschung, Berlin . . . Wien 1923 ff.); Beih. = Beiheft (1933 ff.)   ",NULL,NULL
"88","AGH"," E. Ebeling, Die akkadische Gebetsserie, Handerhebung (Berlin 1953)   ",NULL,NULL
"89","AGM"," Archiv für Geschichte der Medezin   ",NULL,NULL
"90","Agricultura (avoid A. Salonen, Agricultura)"," A. Salonen, Agricultura Mesopotamica nach sumerisch-akkadischen Quellen (Heidelbeg 1981), (= AASF B 149)   ",NULL,NULL
"91","AGS"," Jørgen Alexander Knudtzon, Assyrische Gebete an den Sonnengott für Staat und königliches Haus aus der Zeit Assahaddons und Asurbanipals (Leipzig 1893)   ",NULL,NULL
"92","AHamI"," Adda-Hamiti-Insushnak, Elamite king, reigned 653-648 BC   ",NULL,NULL
"93","AHAW (aka AbhHeidelberg)"," Abhandlungen der Heidelberger Akademie der Wissenschaften. Phil-hist. Klasse (Heidelberg 1913 ff.)   ",NULL,NULL
"94","AHDO ","Archives d'histoire du droit oriental",NULL,NULL
"95","ÄHK"," E. Edel, Die ägyptisch-hethitische Korrespondenz aus Boghazköi in babylonischer und hethitischer Sprache (Opladen 1994)   ",NULL,NULL
"96","AHw"," W. von Soden, Akkadisches Handwörterbuch (Wiesbaden 1959 - 1981)   ",NULL,NULL
"97","Ai (aka ai.)"," Ana ittišu (in MSL 1)   ",NULL,NULL
"98","AIA"," tablets in the collections of the Australian Institute of Archaeology (Melbourne)   ",NULL,NULL
"99","AiFF"," Walter Hinz, Altiranische Funde und Forschungen (Berlin 1969)   ",NULL,NULL
"100","AION"," (aka AIUON)  Annali dell'Istituto Universitario Orientale di Napoli. Sezione linguistica (Naples 1959 ff.)  ",NULL,NULL
"101","AIPHOS"," Annuaire de l'Institut de philologie et d'histoire orientales et slaves, Université libre de Bruxelles. (Bruxelles, 1936)   ",NULL,NULL
"102","Aistleitner Wörterbuch"," J. Aistleitner, Wörterbuch der ugaritischen Sprache   ",NULL,NULL
"103","AJ"," Antiquaries Journal (London/Oxford 1921 ff.)   ",NULL,NULL
"104","AJA"," American Journal of Archaeology (Princeton/Baltimore 1897 ff.)   ",NULL,NULL
"105","AJSL"," American Journal of Semitic Languages and Literatures (Chicago 1895- 1941)   ",NULL,NULL
"106","AKA"," L. W. King, The Annals of the Kings of Assyria, I (London 1902)   ",NULL,NULL
"107","Akk."," Akkadian   ",NULL,NULL
"108","Akkadica"," Akkadica. Périodique bimestriel de la Fondation Assyriologique Georges Dossin (Brussels 1977 ff.); Suppl. = Supplément (Leuven 1983 ff.)   ",NULL,NULL
"109","AKL"," Grayson, Assyrische Königsliste , RLA 6, 101-16.   ",NULL,NULL
"110","AKT"," Ankara Kültepe Tabletleri / Ankara Kültepe Tablets or Texts (vol. 1-2, Ankara 1990/1995, vol. 3 = FAOS Beih. 3, 1995)   ",NULL,NULL
"111","AL"," F. Delitzsch, Assyrische Lesestücke, mit grammatischen Tabellen und vollständigem Glossar; Einführung in die assyrische und babylonische Keilschriftlitteratur bis hinauf zu Hammurabi, für akademischen Gebrauch und Selbstunterricht, 4. durchaus neu bearb. Aufl. Assyriologische Bibliothek 16. (Leipzig 1912)   ",NULL,NULL
"112","ALA (aka ALASP, ALASPM)"," Abhandlungen zur Literatur Alt-Syrien-Palästinas (und Mesopotamiens, Münster 1988 ff.)   ",NULL,NULL
"113","Alan"," lex. series alan = lanu   ",NULL,NULL
"114","ALASP"," Abhandlungen zur Literatur Alt-Syrien-Palästinas (Münster)   ",NULL,NULL
"115","Aleppo"," M. Touzalin 1982   ",NULL,NULL
"116","AlHeth"," H.A. Hoffner, Alimenta Hethaeorum (AOS 55, 1974)   ",NULL,NULL
"117","AlT (aka Wiseman Alalakh, AT)"," D.J. Wiseman, The Alalakh Tablets (London 1953)   ",NULL,NULL
"118","Altertumskunde"," V. Christian, Altertumskunde des Zweistromlandes von der Vorzeit bis zum Ende der Achämenidenherrschaft, Bd. I (Leipzig 1940)   ",NULL,NULL
"119","Altmesop. Weihplatten"," J. Boese, Altmesopotamische Weihplatten. Eine sumerische Denkmalsgattung des 3. Jahrtausends v. Chr. (Berlin-New York 1971)   ",NULL,NULL
"120","Alu"," Akk. omen series Šumma Alu   ",NULL,NULL
"121","AM"," 1) A. Goetze, Die Annalen des Murshilish (= MVAG 29/3, 1925, reprint Leipzig 1967). 2) G. Cardascia, Les archives des Murashu (Paris 1951). 3) Museum sigla  Collection Albert Maignan  ",NULL,NULL
"122","Amarsuen lff."," royal inscr.; Steible NBW 2, 218ff.   ",NULL,NULL
"123","Amarsuen to Shulgi"," letter; ISET 2, 115 Ni.3083 rev. i and dupl.   ",NULL,NULL
"124","AMD"," T. Abusch − K. van der Toorn(Hrsg.), Mesopotamian Magic. Textual,Historical, and Interpretative Perspectives (Ancient Magic and Divination I) (Groningen 1999)   ",NULL,NULL
