"id","abbreviation","fullform","type","publication_id"
"488","Das Sumerische "," A. Falkenstein, Das Sumerische. Handbuch der Orientalistik (Leiden 1959)   ",NULL,NULL
"489","dat. "," dative   ",NULL,NULL
"490","DAT "," B. Lafont, Documents administratifs sumeriens provenant du site de Tello   ",NULL,NULL
"491","Date Palm "," B. Landsberger, AfO Beiheft 17   ",NULL,NULL
"492","DAWO (aka DAWIfO) "," Deutsche Akademie der Wissenschaften zu Berlin. Institut für Orientforschung (Berlin)   ",NULL,NULL
"493","DBPS (aka DBPSz) "," N. Lihacev, Drevnejsija bully i pecaty Sirpurly = Mem. de la section class. de la Soc. imp. russe d'archéologie, 4 (1907), p. 225-263   ",NULL,NULL
"494","DCS (aka Charpin Durand Documents) "," D. Charpin/J.-M. Durand, Documents cunéiformes de Strasbourg (Paris 1981)   ",NULL,NULL
"495","Death of Dumuzi "," lit. comp.; S.N. Kramer, AnSt 30, 5ff.; CT 58, 51   ",NULL,NULL
"496","Death of Urnammu "," lit. comp.; S.N. Kramer, JCS 21, 104ff.; C. Wilcke, Rencontre 17 81ff.; Susa version ms. M. Civil, rev. ms. S.J. Tinney   ",NULL,NULL
"497","DecChaldée (aka DC t/p) "," Découvertes en Chaldée par E. de Sarzec, ouvrage accompagné de planches, publié par les soins de L. Heuzey, avec le concours de A. Amiaud et F. Thureau-Dangin pour la partie épigraphique. Premier volume  texte (Paris 1884-1912), Second volume  partie épigraphique et planches (Paris 1884-1912) ",NULL,NULL
"498","Devils "," The Devils and Evil Spirits of Babylonia, R. Campbell Thompson (London 1903 vol. 1, 1904 vol.2)   ",NULL,NULL
"499","DeZ "," Museum siglum Dein ez-Zor   ",NULL,NULL
"500","Diri "," lex. series diri = watru   ",NULL,NULL
"501","disc. "," discussion   ",NULL,NULL
"502","diss. "," dissertation   ",NULL,NULL
"503","DMOA "," Documenta et monumenta Orientis antiqui (Leiden 1947 ff.)   ",NULL,NULL
"504","DN "," divine name   ",NULL,NULL
"505","DoCu (aka Durand Documents, DC, Cat. EPHE, DCEP) "," Jean-Marie Durand, Documents cunéiformés de la IVe Section de l'École pratique des Hautes Etudes, vol. 1  catalogue et copies cunéiformés (= HEO 18, 1982) (Geneva 1982)  ",NULL,NULL
"506","DP "," M. F. Allotte de la Fuÿe, Documents présargoniques (Paris 1908-1920)   ",NULL,NULL
"507","DPA (aka EDPA) "," H. Limet, Etude de Documents de la Période d'Agade (Société d'Editions &#147;Les Belles Lettres&#148; 1973)   ",NULL,NULL
"508","Dreams "," A.L. Oppenheim, The Interpretation of Dreams in the Ancient Near East (= TAPS 46/3)   ",NULL,NULL
"509","Drehem "," M. Sigrist, Drehem   ",NULL,NULL
"510","DS (aka DSz)"," H.G. Güterbock, The Deeds of Shuppiluliuma as Told by his Son Murshili II, JCS 10 (1956) 41-68; 75-98; 107-130   ",NULL,NULL
"511","DSGl "," F. Delitzsch, Sumerisches Glossar (Leipzig, 1914)   ",NULL,NULL
"512","DSGr "," F. Delitzsch, Sumerische Grammatik (Leipzig, 1914)   ",NULL,NULL
"513","DTA "," A.T. Clay, Documents from the Temple Archives of Nippur. UMBS 11, nos. 1 and 2. (Philadelphia, 1913)   ",NULL,NULL
"514","DTCFD "," Dil Tarih ve Cografya Fakültesi Dergisi (Ankara)   ",NULL,NULL
"515","Dumuzi's Dream "," lit. comp.; B. Alster Mesopotamia 1, and dupls.; RA 69, 97-108; new ms. M.W. Green; rev. ms. B. Alster   ",NULL,NULL
"516","Dumuzi-Inanna A "," lit. comp.; Sefati Love Songs 115ff.   ",NULL,NULL
"517","Dumuzi-Inanna B "," lit. comp.; Sefati Love Songs 125ff.   ",NULL,NULL
"518","Dumuzi-Inanna C "," lit. comp.; Sefati Love Songs 146ff.   ",NULL,NULL
"519","Dumuzi-Inanna C1 "," lit. comp.; Sefati Love Songs 323ff.   ",NULL,NULL
"520","Dumuzi-Inanna D "," lit. comp.; Sefati Love Songs 171ff.   ",NULL,NULL
"521","Dumuzi-Inanna D1 "," lit. comp.; Sefati Love Songs 340ff.   ",NULL,NULL
"522","Dumuzi-Inanna E "," lit. comp.; Sefati Love Songs 186ff.   ",NULL,NULL
"523","Dumuzi-Inanna E1 "," lit. comp.; Sefati Love Songs 353ff.   ",NULL,NULL
"524","Dumuzi-Inanna F "," lit. comp.; Sefati Love Songs 193ff.   ",NULL,NULL
"525","Dumuzi-Inanna F1 "," lit. comp.; Sefati Love Songs 363ff.   ",NULL,NULL
"526","Dumuzi-Inanna G "," lit. comp.; Sefati Love Songs 200ff.   ",NULL,NULL
"527","Dumuzi-Inanna H "," lit. comp.; Sefati Love Songs 209ff.   ",NULL,NULL
"528","Dumuzi-Inanna I "," lit. comp.; Sefati Love Songs 218ff.   ",NULL,NULL
"529","Dumuzi-Inanna L "," lit. comp.; Sefati Love Songs 230ff.   ",NULL,NULL
"530","Dumuzi-Inanna M "," lit. comp.; Sefati Love Songs 232f.   ",NULL,NULL
"531","Dumuzi-Inanna O "," lit. comp.; Sefati Love Songs 234ff.   ",NULL,NULL
"532","Dumuzi-Inanna P "," lit. comp.; Sefati Love Songs 243ff.   ",NULL,NULL
"533","Dumuzi-Inanna R "," lit. comp.; Sefati Love Songs 262ff.   ",NULL,NULL
"534","Dumuzi-Inanna T "," lit. comp.; Sefati Love Songs 273ff.   ",NULL,NULL
"535","Dumuzi-Inanna V "," lit. comp.; Sefati Love Songs 284ff.   ",NULL,NULL
"536","Dumuzi-Inanna W "," lit. comp.; Sefati Love Songs 288ff.   ",NULL,NULL
"537","Dumuzi-Inanna X "," lit. comp.; Sefati Love Songs (BE 31, 46)   ",NULL,NULL
"538","Dumuzi-Inanna Y "," lit. comp.; Sefati Love Songs 301ff.   ",NULL,NULL
"539","Dumuzi-Inanna Z "," lit. comp.; Sefati Love Songs 317ff.   ",NULL,NULL
"540","dupl(s). "," duplicate(s)   ",NULL,NULL
"541","DynChal "," Janneau, Guillaume. Une dynastie chaldéenne  les rois d'Ur. (Paris, P. Geuthner, 1911)  ",NULL,NULL
"542","EA "," J. A. Knudtzon, Die El-Amarna-Tafeln (= VAB II, Leipzig 1915)   ",NULL,NULL
"543","Ea "," lex. series e-a || A = naqu; MSL 14, 171ff.   ",NULL,NULL
"544","EAE "," Enuma Anu Enlil (Babylonian astronomical series)   ",NULL,NULL
"545","EAK "," Einleitung in die assyrischen Königsinschriften. R. Borger, Teil I  Das zweite Jahrtausend v. Chr.; W. Schramm, Teil II  934-722 v. Chr., in  HdOr. Erg.-Bd. V 1,1 (1961) und 1,2 (1973)",NULL,NULL
"546","Eames (aka Eames Coll.) "," A.L. Oppenheim, AOS 32   ",NULL,NULL
"547","Eannatum lff. "," royal inscr.; Steible ABW 1, 120ff.   ",NULL,NULL
"548","Early Rulers "," see Sumerian Poem 4   ",NULL,NULL
"549","EBH ","Early Babylonian History, Hugo Radau, 1900",NULL,NULL
"550","Ebla 1975-1985 (aka Dieci anni) "," L. Cagni (ed.), Ebla 1975-1985, Dieci anni di studi linguistici e filologici, Atti del Convegno Internazionale (Naples 1987)   ",NULL,NULL
"551","Ebla Bil. Voc. "," lex. text; MEE 4   ",NULL,NULL
"552","Eblaitica "," Eblaitica  Essays on the Ebla Archives and Eblaite Language (Winona Lake, 1987 ff.)  ",NULL,NULL
"553","econ. "," economic (texts)   ",NULL,NULL
"554","Economic History "," Economic History / Hospodárske Dejiny, Praha, vol. 15 (Prague 1986)   ",NULL,NULL
"555","ECTJ "," A. Westenholz, Early Cuneiform Texts in Jena   ",NULL,NULL
"556","ED "," Early Dynastic   ",NULL,NULL
"557","ED Animal List A "," lex. text, MEE 3, 47ff.   ",NULL,NULL
"558","ED Animal List B "," lex. text; MEE 3, 57ff.   ",NULL,NULL
"559","ED Bird List A "," lex. text; MEE 3, 109ff., with appendix by M. Civil, 275ff   ",NULL,NULL
"560","ED Lu "," lex. series; Early Dynastic recensions of Lu; MSL 12, 3ff.   ",NULL,NULL
"561","ED Proverbs "," B. Alster AfO 38/39, 1-51   ",NULL,NULL
"562","ed(s). "," edited, editor(s)   ",NULL,NULL
"563","EDA "," H. Limet, Etude de documents de la periode d'Agade appartenant a l'Universite de Liege   ",NULL,NULL
"564","EDATS "," F. Pomponio and G. Visicato, Early Dynastic Administrative Tablets of Šuruppak. Naples, 1994.   ",NULL,NULL
"565","Ee. "," Enuma elish (Babylonian creation myth)   ",NULL,NULL
"566","EE "," Stolper, Matthew W., Entrepreneurs and empire   the Murašû Archive, the Murašû Firm, and Persian rule in Babylonia. Leiden & Istanbul 1985  Nederlands Historisch-Archaeologisch Instituut te Istanbul ",NULL,NULL
"567","EEN "," N. Veldhuis, Elementary Education in Nippur (Ph.D. dissertation)   ",NULL,NULL
"568","EG (aka GE, gilg., Gilgamesh Epic) "," Epic of Gilgamesh (Babylonian epic)   ",NULL,NULL
"569","EG "," A. Dillmann, Ethiopic Grammar, 2d edition, 1899, Translated by J. A. Crichton (London 1907)   ",NULL,NULL
"570","EI "," Enzyklopädie des Islam (Leiden 1913-1934)   ",NULL,NULL
"571","EK "," Excavations at Kish   the Herbert Weld (for the University of Oxford) and Field Museum of Natural History (Chicago) Expedition to Mesopotamia, 1924-1934  ",NULL,NULL
"572","ELA "," S. Cohen, Enmerkar and the Lord of Aratta (diss., Univ. of Pennsylvania)   ",NULL,NULL
"573","Elam. "," Elamite   ",NULL,NULL
"574","Elementary Education "," N. Veldhuis, Elementary Education at Nippur  the List of Trees and Wooden Objects  ",NULL,NULL
"575","Elevation of Ishtar "," lit. comp.; B. Hruska, ArOr 37, 473ff.   ",NULL,NULL
"576","Ellil "," F. Nötscher, Ellil in Sumer und Akkad   ",NULL,NULL
"577","ELTS "," I. J. Gelb, P. Steinkeller, and R. M. Whiting, Jr., Earliest Land Tenure Systems in the Near East  Ancient Kudurrus (=OIP 104; Chicago  The Oriental Institute, 1989, 1991) ",NULL,NULL
"578","Emar 6 (aka Emar VI) "," D. Arnaud, Recherches au pays d'Astata  Emar 6/1-4, Textes sumeriens et accadiens (Paris 1986)  ",NULL,NULL
"579","Emesal Voc. "," lex. series; MSL4, 3ff.   ",NULL,NULL
"580","Emesal-Studien (aka M.K. Schretter, Emesal) "," M. K. Schretter, Emesal-Studien, Sprach- und literuturgeschichtliche Untersuchungen zur sogenannten Frauensprache des Sumerischen, Innsbrucker Beiträge zur Kulturwissenschaft, Sonderheft 69 (Innsbruck 1990)   ",NULL,NULL
"581","En. el. "," Akk. lit. comp.; Enuma elish   ",NULL,NULL
"582","Enannatum I 1ff. "," royal inscr., Steible ABW 182ff.   ",NULL,NULL
"583","Enannatum II 1ff. "," royal inscr.; Steible ABW 1, 273ff.   ",NULL,NULL
"584","Enc. phot. "," M. Rutten, Encyclopédie photographique de l'art, Tome II (Paris 1936)   ",NULL,NULL
"585","ENES (aka Yale) "," B. Buchanan, Early Near Eastern Seals im the Yale Babylonian Collection (New Haven 1981)   ",NULL,NULL
"586","Enki and Ninmah "," lit. comp.; C. Benito, ""Enki and Ninmah"" and ""Enki and the World Order"" (diss., Univ. of Pennsylvania); rev. ms. S.J. Lieberman   ",NULL,NULL
"587","Enki and the World Order (aka Enki-WO) "," lit. comp.; C. Benito, ""Enki and the World Order"" (diss., Univ. of Pennsylvania); rev. ms. M.W. Green   ",NULL,NULL
"588","Enki's Journey to Nippur "," lit. comp.; A. al-Fouadi, Enki's Journey to Nippur (diss., Univ. of Pennsylvania)   ",NULL,NULL
"589","Enkimansum and Giriniisag "," lit. comp.; BE 31, 45 and dupls.   ",NULL,NULL
"590","Enkitalu and Enkihegal "," lit. comp.; ms. M. Civil   ",NULL,NULL
"591","Enkl and Ninhursaga "," lit. comp.; S.N. Kramer, BASOR SS 1; rev. ms. S.J. Lieberman; P. Attinger, ZA 74, lff   ",NULL,NULL
"592","Enlil and Namzitarra "," lit. comp.; M. Civil, AfO 25, 68ff.   ",NULL,NULL
"593","Enlil and Ninlil (aka Behrens 1978) "," lit. comp.; H. Behrens, Studia Pohl SM 8, 1978   ",NULL,NULL
"594","Enlil and Sud "," lit. comp.; M. Civil, JAOS 103, 43ff   ",NULL,NULL
"595","Enlil in the Ekur "," lit. comp.; Falkenstein Götterlieder 5ff., D. Reisman Two Neo-Sumerian Royal Hymns (diss., Univ. of Pennsylvania) 41ff.; rev. ms. S. Kupferberg   ",NULL,NULL
"596","Enlil's Chariot "," lit. comp., J. Klein, Acta Sum 11 37ff   ",NULL,NULL
"597","Enlilbani 1 "," (StOr 49, 28)   ",NULL,NULL
"598","Enlilbani 2a "," (StOr 49, 29)   ",NULL,NULL
"599","Enlilbani 2b "," (StOr 49, 29; RIME 4  Enlilbani 3)  ",NULL,NULL
"600","Enlilbani 3 "," (8tOr 49, 30; RIME 4  Enlilbani 5)  ",NULL,NULL
"601","Enlilbani 4 "," (StOr 49, 30f.; RIME 4  Enlilbani 6)  ",NULL,NULL
"602","Enlilbani 5 "," (StOr 49, 31; RIME 4  Enlilbani 9)  ",NULL,NULL
"603","Enlilbani 6 "," (StOr 49, 31; RIME 4  Enlilbani 8)  ",NULL,NULL
"604","Enlilbani 7 "," (StOr 49, 32; RIME 4  Enlilbani 11)  ",NULL,NULL
"605","Enlilbani 8 "," (StOr 49, 33; RIME 4  Enlilbani 4)  ",NULL,NULL
"606","Enlilbani 9 "," (StOr 49 33 RIME 4  Enlilbani 7)  ",NULL,NULL
"607","Enlilbani A "," lit. comp.; A. Kapp, ZA 51, 76ff. and dupls., rev. ms. M. Roth   ",NULL,NULL
"608","Enlilbani lff. "," royal inscr.   ",NULL,NULL
"609","Enlildirishe "," lit. comp.; Römer SKIZ 39ff. and dupls.; rev. ms. S.J. Tinney   ",NULL,NULL
"610","Enmerkar and Ensuhkeshdanna "," lit. comp A. Berlin Enmerkar and Ensuhkesdanna (= 0PBF 2); H. Behrens, AfO 29-30 98ff.; rev. ms. H. Behrens   ",NULL,NULL
"611","Enmerkar and the Lord of Aratta "," ht. comp.; S. Cohen (diss., Univ. of Pennsylvania); rev. ms Å.W. Sjöberg   ",NULL,NULL
"612","Enmetena lff. "," royal inscr.; Steible ABW 1, 21 lff.   ",NULL,NULL
"613","Enshakushanna lff. "," royal inscr.; Steible ABW 2, 293ff.   ",NULL,NULL
"614","Ensi and Sanga to a King "," letter; Ali Letters 109ff. B 11  ",NULL,NULL
"615","epigr. "," epigraphical(ly)   ",NULL,NULL
"616","Epithetes (aka ÉR) "," M.-J. Seux, Epithetes royales akkadiennes et sumeriennes (Paris 1967)   ",NULL,NULL
"617","ePSD "," electronic Pennsylvania Sumerian Dictionary Project <http //psd.museum.upenn.edu/epsd/index.html (Philadelphia)  ",NULL,NULL
"618","Equids "," R. H. Meadow, H.-P. Uerpmann, Equids in the Ancient World, Beihefte zum Tübinger Atlas des Vorderen Orients, Reihe A 19/1 (Wiesbaden 1986)   ",NULL,NULL
"619","ERC "," Edition Recherche sur les Civilisations, Cah. = Cahiers Mém = Mémoire (Paris)   ",NULL,NULL
"620","Eridu "," M.W. Green, Eridu in Sumerian Literature (diss., Univ. Of Chicago)   ",NULL,NULL
"621","Eridu Lament "," lit. comp.; M.W. Green, JCS 30, 127ff.   ",NULL,NULL
"622","Erimhush "," lex. series erim2-hush = anantu; MSL 17, 3ff.   ",NULL,NULL
"623","ErIsr. (aka Eretz-Israel, Er(etz) Isr(ael), EI) "," Eretz Israel, Archaeological, Historical and Geographical Studies (Jerusalem 1951 ff.)   ",NULL,NULL
"624","Erra Epic "," Akk. lit comp., L. Cagni, Studia Pohl 5   ",NULL,NULL
"625","Ershemma "," M.E. Cohen, Sumerian Hymnology  The Ershemma  ",NULL,NULL
"626","ES "," Emesal   ",NULL,NULL
"627","ESA "," Eurasia Septentrionalis Antiqua (Helsinki 1926/1927 ff.)   ",NULL,NULL
"628","ESA "," Eurasia Septentrionalis Antiqua (Helsinki 1926/1927 ff.)   ",NULL,NULL
"629","ESA "," A. F. L. Beeston, A Descriptive Grammar of Epigraphic South Arabian (London 1962)   ",NULL,NULL
"630","ESEM "," tablets in the collections of the Archaeological Museums, Istanbul   ",NULL,NULL
"631","esp. "," especially   ",NULL,NULL
"632","Essays Gordon "," The Bible World  Essays in Honor of Cyrus H. Gordon  ",NULL,NULL
"633","ETB "," Excavations at Tell Brak, edited by D. Oates, J. Oates & H. McDonald, 2001   ",NULL,NULL
"634","ETCSL "," Electronic Text Corpus of Sumerian Literature <http //etcsl.orinst.ox.ac.uk> (Oxford)  ",NULL,NULL
"635","Etelpidamu to Mardu "," letter-prayer, ms. P. Michalowski   ",NULL,NULL
"636","Etudes Garelli (aka Études Garelli) "," Marchands, Diplomats et Empereurs  Etudes sur la civilisation mesopotamienne offertes a Paul Garelli  ",NULL,NULL
"637","EvM "," Evil-Merodach . . ., in  B.T.A. Evitts, Inscriptions of the reigns of Evil-Merodach, Neriglissar and Laborosoarchod (=BT 6 B, 1892)  ",NULL,NULL
"638","EVO "," Egitto e Vicino Oriente   ",NULL,NULL
"639","Ewe and Grain "," lit. comp. ms. M. Civil, B. Alster and H. Vanstiphout, Acta Sum 9, lff.   ",NULL,NULL
"640","Exaltation "," W.W. Hallo and J.A. van Dijk, The Exaltation of Inanna (YNER 3)   ",NULL,NULL
"641","Examenstext A "," llt. comp. (Edubba A), Å.W. Sjöberg, ZA 64, 137ff., and dupls.   ",NULL,NULL
"642","Examenstext B "," lit. comp. (Edubba B) ms. Å.W. Sjöberg   ",NULL,NULL
"643","Expedition "," Expedition. Bulletin of the University Museum of the University of Pensylvania (Philadelphia 1958 ff.)   ",NULL,NULL
"644","ext. "," extispicy   ",NULL,NULL
"645","FAOS "," Freiburger Altorientalische Studien (Freiburg 1975 ff.); Beih. = Beihefte  Altassyrische Texte und Untersuchungen (1984 ff.)  ",NULL,NULL
"646","FARG "," Forschungen zur Anthropologie und Religionsgeschichte   ",NULL,NULL
"647","Farmer's Instructions (aka Civil Farmer's Instructions, Farmer's Almanac, Georgica 1.1.1) "," M. Civil, The Farmer's Instructions  A Sumerian Agncultural Manual (= Aula Or Suppl. 5)  ",NULL,NULL
"648","Father and Son "," lit. comp. Å.W. Sjöberg JCS 25, 105ff. and dupl.; rev. ms. Å.W. Sjöberg   ",NULL,NULL
"649","Fauna "," B. Landsberger, Die Fauna des Alten Mesopotamien (= ASAW 42/6)   ",NULL,NULL
"650","fem. "," feminine   ",NULL,NULL
"651","FHG "," E. Laroche, Fragments hittites de Genève, RA 45/3 (1951) pp. 131-138; 45/4 (1951) pp. 184-194; 46/1 (1952) pp. 42-50. Updated in E. Laroche, Sur les Fragments hittites de Genève (FHG), RA 46/4 (1952) p. 214   ",NULL,NULL
"652","FHL "," J.-M. Durand/E. Laroche, Fragments hittites du Louvre, in  Gs. K. Atatürk (Paris 1982) S. 73-107  ",NULL,NULL
"653","fig(s). "," figure(s)   ",NULL,NULL
"654","Fischerei (aka A. Salonen, Fischerei, FAM) "," A. Salonen, Die Fischerei im alten Mesopotamien nach sumerisch-akkadischen Quellen (Helsinki 1960), (= AASF B 166)   ",NULL,NULL
"655","Flood Story "," lit. comp.; M. Civil, in W.G. Lambert and A.R. Millard, Atra-hasls  The Babylonian Story of the Flood, 138ff.  ",NULL,NULL
"656","Florenz "," K. Oberhuber, Sumerische un akkadische Keilschriftdenkmaler des Archaologischen Museums zu Florenz   ",NULL,NULL
"657","FLP "," Museum siglum, Free Library of Phildadelphia   ",NULL,NULL
"658","fn. "," footnote   ",NULL,NULL
"659","FN "," field name(s)   ",NULL,NULL
"660","FNLD (aka FNALD) "," J. N. Postgate, Fifty Neo-Assyrian Legal Documents (Warminster 1976)   ",NULL,NULL
"661","Fo (aka Fö) "," W. Förtsch, Altbabylonische Wirtschaftstexte aus der Zeit Lugalanda's und Urukagina's, VS 14/I (Leipzig 1916)   ",NULL,NULL
"662","Foreign Trade "," W.F. Leemans, Foreign Trade in the Old Babylonian Period   ",NULL,NULL
"663","Fowler and his Wife "," lit. comp., B. Alster, JCS 27, 214f.   ",NULL,NULL
"664","fragm. "," fragment(ary)   ",NULL,NULL
"665","freq. "," frequent(ly)   ",NULL,NULL
"666","From the 21st Century "," S. Garfinkle & M. Molina, From the 21st Century B.C. to the 21st Century A.D.  Proceedings of the International Conference on Sumerian Studies Held in Madrid 22–24 July 2010 (Eisenbrauns, 2013)  ",NULL,NULL
"667","Frühdyn. Beterstatuetten "," E. Braun-Holzinger, Frühdynastische Beterstatuetten (Berlin 1977)   ",NULL,NULL
"668","Frühe Schrift "," H. Nissen, P. Damerow, and R. Englund, Frühe Schrift und Techniken der Wirtschaftsverwaltung im alten Vorderen Orient (Berlin 1990)   ",NULL,NULL
"669","Frymer-Kensky Ordeal "," T.S. Frymer-Kensky, The Judicial Ordeal in the Ancient Near East (diss., Yale Univ.)   ",NULL,NULL
"670","Fs "," Festschrift (Anniversary volume, Studies in honor of, etc.)   ",NULL,NULL
"671","Fs Astour "," Crossing boundaries and linking horizons   studies in honor of Michael C. Astour on his 80th birthday, edited by Gordon D. Young, Mark W. Chavalas, Richard E. Averbeck, with the assistance of Kevin L. Danti (Bethesda, Md. 1997)  ",NULL,NULL
"672","Fs Borger "," Festschrift für Rykle Borger zu seinem 65. Geburtstag am 24. Mai 1994  tikip santakki mala basmu, herausgegeben von Stefan M. Maul (Groningen 1998)  ",NULL,NULL
"673","Fs Diakonoff (aka Studies Diakonoff) "," Societies and Languages of the Ancient Near East  Studies in Honour of I.M. Diakonoff  ",NULL,NULL
"674","Fs Finkelstein "," Essays on the ancient Near East in memory of Jacob Joel Finkelstein, edited by Maria de Jong Ellis. (Hamden, Conn. 1977)   ",NULL,NULL
"675","Fs Gaster (aka Gaster Festschrift) "," JANES 5   ",NULL,NULL
"676","Fs Geers "," From Assurbanpal's Library  Studies in Memory of F. W. Geers  JNES 33/2-3 (1974) {pp 183-266?} ",NULL,NULL
"677","Fs Gordon "," Orient and Occident. Essays presented to Cyrus H. Gordon on the occasion of his sixty-fifth birthday., Edited by Harry A. Hoffner. Kevelaer, Butzon &amp; Bercker; Neukirchen-Vluyn, Neukirchener Verlag, 1973   ",NULL,NULL
"678","Fs Greenfield "," Solving riddles and untying knots   biblical, epigraphic, and Semitic studies in honor of Jonas C. Greenfield /, edited by Ziony Zevit, Seymour Gitin, Michael Sokoloff (Winona Lake, Ind.  Eisenbrauns, 1995) ",NULL,NULL
"679","Fs Hallo (aka Studies Hallo) "," The Tablet and the scroll  Near Eastern studies in honor of William W. Hallo, edited by Mark E. Cohen, Daniel C. Snell, David B. Weisberg (Bethesda, Md.  CDL Press, 1993) ",NULL,NULL
"680","Fs Hewett "," So live the works of men   seventieth anniversary volume honoring Edgar Lee Hewett, edited by Donald D. Brand and Fred E. Harvey (Albuquerque, N.M.  University of New Mexico Press, 1939) ",NULL,NULL
"681","Fs Hilprecht "," Hilprecht anniversary volume. Studies in Assyriology and archaeology dedicated to Hermann V. Hilprecht upon the twenty-fifth anniversary of his doctorate and his fiftieth birthday (July 28), by his colleagues, friends and admirers (Leipzig, J.C. Hinrichs, 1909)   ",NULL,NULL
"682","Fs Jones "," Studies in honor of Tom B. Jones /, herausgegeben von Marvin A. Powell, Jr. und Ronald H. Sack (Kevelaer  Butzon &amp; Bercker ; Neukirchen-Vluyn   Neukirchener Verlag, 1979) = AOAT 203. ",NULL,NULL
"683","Fs Koschaker "," Festschrift Paul Koschaker   mit Unterstützung der Rechts- und Staatswissenschaftlichen Fakultät der Friedrich-Wilhelms-Universität Berlin und der Leipziger Juristenfakultät, zum sechzigsten Geburtstag überreicht von seinen Fachgenossen (Weimar  Böhlaus, 1939) ",NULL,NULL
"684","Fs Kraus (aka Studies Kraus) "," Zikir Shumim  Assyriological Studies Presented to F.R. Kraus  ",NULL,NULL
"685","Fs Larsen "," Assyria and Beyond  Studies Presented to Mogens Trolle Larsen, edited by J. G. Dercksen (Nederlands Instituut voor het Nebije Oosten, 2004)  ",NULL,NULL
"686","Fs Levine "," Ki Baruch Hu  Ancient Near Eastern, Biblical, and Judaic Studies in Honor of Baruch A. Levine  ",NULL,NULL
"687","Fs Limet "," Tunca, Ö and S. Dehesell, Tablettes et images aux pays de Sumer et d'Akkad   mélanges offerts &#133; Monsieur H. Limet Mémoires (Association pour la Promotion de l'Histoire et de l'Archéologie Orientales) 1. (Liege  Université de Liege 1996) ",NULL,NULL
"688","Fs Matous "," B. Hruska, G. Komoróczy (eds.), Festschrift Lubor Matous (Budapest  Eötvös Loránd Tudományegyetem, &#211;kori Történeti Tanszekek, 1978)  ",NULL,NULL
"689","Fs Moortgat "," Vorderasiatische Archäologie. Studien und Aufsätze. A. Moortgat zum 65. Geburtstag gewidmet (Berlin 1964)   ",NULL,NULL
"690","Fs Moran (aka Studies Moran) "," Lingering over Words  Studies in Ancient Near Eastern Literature in Honor of William L. Moran  ",NULL,NULL
"691","Fs Oberhuber "," Im Bannkreis des Alten Orients   Studien zur Sprach- und Kulturgeschichte des Alten Orients und seines Ausstrahlungsraumes   Karl Oberhuber zum 70. Geburtstag gewidmet /, herausgegeben von Wolfgang Meid und Helga Trenkwalder (Innsbruck  Institut für Sprachwissenschaft der Universität Innsbruck, 1986)",NULL,NULL
"692","Fs Reiner (aka Studies Reiner) "," Language, Literature, and History  Philological and Historical Studies Presented to E. Reiner (= AOS 67)  ",NULL,NULL
"693","Fs Rinaldi "," Studi sull'Oriente e la Bibbia   offerti al p. Giovanni Rinaldi nel 60. compleanno da allievi, colleghi amici. Genova   Studio e vita, 1967. ",NULL,NULL
"694","Fs Römer (aka Römer Festschrift) "," dubsar anta-men  Studien zur Altorientalistik, Festschrift fur Willem H.Ph. Römer zur Vollendung seines 70. Lebensjahres mit Beitragen von Freunden, Schulern und Kollegen, AOAT 253  ",NULL,NULL
"695","Fs Salonen "," Festschrift A. I. Salonen, StOr 46 (Amsterdam and Oxford 1976)   ",NULL,NULL
"696","Fs Sigrist (aka Studies Sigrist) "," Piotr Michalowski, ed., On the Third Dynasty of Ur  Studies in Honor of Marcel Sigrist, JCS SS 1. Boson, MA  American Schools of Oriental Research, 2008. ",NULL,NULL
"697","Fs Sjöberg (aka Studies Sjöberg) "," DUMU E2-DUB-BA-A  Studies in Honor of Å.W. Sjöberg  ",NULL,NULL
"698","Fs Steve "," Fragmenta Historiae Aelamicae  Mélanges Offerts à M-J. Steve. L. De Meyer, H. Gasche and F. Vallat, eds. Éditions Recherche sur les Civilisations. Paris, 1986.  ",NULL,NULL
"699","Fs Struve "," Drevnij mir, sbornik statej akademiku Vasiliju Vasil'evich Struve, Shakhov, F. 1964   ",NULL,NULL
"700","FT (aka de Genouillac FT) "," H. de Genouillac, Fouilles de Telloh   ",NULL,NULL
"701","FTP "," H.P. Martin et al, The Fara tablets in the University of Pennsylvania Museum of Archaeology and Anthropology, 2001   ",NULL,NULL
"702","FTS "," S.N. Kramer, From the Tablets of Sumer   ",NULL,NULL
"703","FuB (aka FB) "," Forschungen und Berichte, Staatliche Museen zu Berlin (Berlin i957 ff.)   ",NULL,NULL
"704","FuF "," Forschungen und Fortschritte (Berlin 1925-1967)   ",NULL,NULL
"705","Fussbekleidung "," A. Salonen, Die Fussbekleidung der alten Mesopotamier &lt;= AASF 157)   ",NULL,NULL
"706","FWG "," Fischer Weltgeschichte, vols. 2-4  Die Altorientalischen Reiche (Frankfurt a. Main 1965-1967)  ",NULL,NULL
"707","GAG "," W. von Soden, Grundriss der Akkadischen Grammatik, Analecta Orientalia 33, Rome 1952; Ergänzungsheft mit Nachträgen, Analecta Orientalia 47, Rome 1969; 2d edition mit Ergänzungsheft, Analecta Orientalia 33/47, Rome 1969; 3d edition, Analecta Orientalia 33, Rome 1995   ",NULL,NULL
